,artists,years of career,song count
0,Johnny Cash,43,456
1,Frank Sinatra,40,621
2,Mohammed Rafi,31,143
3,Aretha Franklin,30,201
4,Miles Davis,30,427
5,David Bowie,30,317
6,Willie Nelson,29,197
7,Lata Mangeshkar,29,323
8,George Strait,28,163
9,Duke Ellington,27,193
10,George Jones,27,102
11,Bob Dylan,27,459
12,Francisco Canaro,27,951
13,Tony Bennett,26,79
14,Elvis Presley,26,494
15,Stevie Wonder,25,228
16,Vicente Fernández,25,252
17,Kishore Kumar,25,45
18,Elton John,24,246
19,Dolly Parton,24,142
20,Fleetwood Mac,24,450
21,James Piano Bar,24,34
22,Umm Kulthum,24,254
23,The Rolling Stones,24,450
24,John Denver,23,116
25,Rod Stewart,23,78
26,Peggy Lee,23,150
27,Nat King Cole,23,206
28,Juan Gabriel,23,125
29,Johnny Mathis,23,105
30,Louis Armstrong,23,196
31,Dean Martin,22,392
32,Andy Williams,22,116
33,Asha Bhosle,22,124
34,Marvin Gaye,22,199
35,Van Morrison,22,147
36,Ella Fitzgerald,22,389
37,Bee Gees,22,183
38,James Brown,22,112
39,Waylon Jennings,22,151
40,The Isley Brothers,22,103
41,Safiye Ayla,21,40
42,Doris Day,21,138
43,Mukesh,21,73
44,Merle Haggard,21,80
45,Nina Simone,21,246
46,Bing Crosby,21,115
47,Chicago,20,109
48,Marty Robbins,20,148
49,Hemant Kumar,20,77
50,Barbra Streisand,20,95
51,Billy Joel,20,214
52,The Temptations,20,108
53,Grateful Dead,20,232
54,The Beach Boys,19,434
55,Los Tigres Del Norte,19,134
56,Michael Jackson,19,153
57,B.B. King,19,106
58,"Hank Williams, Jr.",19,108
59,Conway Twitty,19,60
60,Queen,19,391
61,KISS,19,184
62,Manna Dey,19,33
63,Aerosmith,19,113
64,Chuck Berry,19,114
65,John Williams,18,84
66,Billie Holiday,18,397
67,José José,18,67
68,Joni Mitchell,18,119
69,AC/DC,18,145
70,Quincy Jones,18,73
71,Pink Floyd,18,263
72,Neil Diamond,18,148
73,Charles Aznavour,18,53
74,Luther Vandross,18,67
75,Kenny Chesney,18,57
76,Rush,17,148
77,El Gran Combo De Puerto Rico,17,48
78,Jerry Lee Lewis,17,63
79,Luis Miguel,17,106
80,Jimmy Buffett,17,121
81,Bob Marley & The Wailers,17,260
82,Linda Ronstadt,17,82
83,"Earth, Wind & Fire",17,92
84,Roberto Carlos,17,36
85,"Asha Bhosle', 'Mohammed Rafi",17,31
86,Kool & The Gang,17,59
87,Julio Iglesias,17,82
88,The Kinks,17,194
89,John Prine,17,90
90,Barry Manilow,17,55
91,Count Basie,17,183
